Time (s);IRQ;;FSM;
0.00030125;0;0;1;0.00000125
0.0003025;0;0;1;0.00000125
0.00030375;0;0;1;0.00000125
0.000305;0;0;1;0.00000125
0.00030625;0;0;1;0.00000125
0.0003075;0;0;1;0.00000125
0.00030875;0;0;1;0.00000125
0.00031;0;0;1;0.00000125
0.00031125;0;0;1;0.00000125
0.0003125;0;0;1;0.00000125
0.00031375;0;0;1;0.00000125
0.000315;0;0;1;0.00000125
0.00031625;0;0;1;0.00000125
0.0003175;0;0;1;0.00000125
0.00031875;0;0;1;0.00000125
0.00032;0;0;1;1.25E-06
0.00032125;0;0;1;0.00000125
0.0003225;0;0;1;0.00000125
0.00032375;0;0;1;0.00000125
0.000325;0;0;1;0.00000125
0.00032625;0;0;1;0.00000125
0.0003275;0;0;1;0.00000125
0.00032875;0;0;1;0.00000125
0.00033;0;0;1;0.00000125
0.00033125;0;0;1;0.00000125
0.0003325;0;0;1;0.00000125
0.00033375;0;0;1;0.00000125
0.000335;0;0;1;0.00000125
0.00033625;0;0;1;0.00000125
0.0003375;0;0;1;0.00000125
0.00033875;0;0;1;0.00000125
0.00034;0;0;1;1.25E-06
0.00034125;0;0;1;0.00000125
0.0003425;0;0;1;0.00000125
0.00034375;0;0;1;0.00000125
0.000345;0;0;1;0.00000125
0.00034625;0;0;1;0.00000125
0.0003475;1;0.00000125;1;0.00000125
0.00034875;1;0.00000125;1;0.00000125
0.00035;1;0.00000125;1;0.00000125
0.00035125;1;0.00000125;1;0.00000125
0.0003525;1;0.00000125;1;0.00000125
0.00035375;0;0;1;0.00000125
0.000355;0;0;1;0.00000125
0.00035625;0;0;1;0.00000125
0.0003575;0;0;1;0.00000125
0.00035875;0;0;1;0.00000125
0.00036;0;0;1;0.00000125
0.00036125;0;0;1;1.25E-06
0.0003625;0;0;1;0.00000125
0.00036375;0;0;1;0.00000125
0.000365;0;0;1;0.00000125
0.00036625;0;0;1;0.00000125
0.0003675;0;0;1;0.00000125
0.00036875;0;0;1;0.00000125
0.00037;0;0;1;0.00000125
0.00037125;0;0;1;0.00000125
0.0003725;0;0;1;0.00000125
0.00037375;0;0;1;0.00000125
0.000375;0;0;1;0.00000125
0.00037625;0;0;1;0.00000125
0.0003775;0;0;1;0.00000125
0.00037875;0;0;1;0.00000125
0.00038;0;0;1;0.00000125
0.00038125;0;0;1;1.25E-06
0.0003825;0;0;1;0.00000125
0.00038375;0;0;1;0.00000125
0.000385;0;0;1;0.00000125
0.00038625;0;0;1;0.00000125
0.0003875;0;0;1;0.00000125
0.00038875;0;0;1;0.00000125
0.00039;0;0;1;0.00000125
0.00039125;0;0;1;0.00000125
0.0003925;0;0;1;0.00000125
0.00039375;0;0;1;0.00000125
0.000395;0;0;1;0.00000125
0.00039625;0;0;1;0.00000125
0.0003975;0;0;1;0.00000125
0.00039875;0;0;1;0.00000125
0.0004;0;0;1;0.00000125
0.00040125;0;0;1;0.00000125
0.0004025;0;0;1;1.25E-06
0.00040375;0;0;1;0.00000125
0.000405;0;0;1;0.00000125
0.00040625;0;0;1;0.00000125
0.0004075;0;0;1;0.00000125
0.00040875;0;0;1;0.00000125
0.00041;0;0;1;0.00000125
0.00041125;0;0;1;0.00000125
0.0004125;0;0;1;0.00000125
0.00041375;0;0;1;0.00000125
0.000415;0;0;1;0.00000125
0.00041625;0;0;1;0.00000125
0.0004175;0;0;1;0.00000125
0.00041875;0;0;1;0.00000125
0.00042;0;0;1;0.00000125
0.00042125;0;0;1;0.00000125
0.0004225;0;0;1;1.25E-06
0.00042375;0;0;1;0.00000125
0.000425;0;0;1;0.00000125
0.00042625;0;0;1;0.00000125
0.0004275;0;0;1;0.00000125
0.00042875;0;0;1;0.00000125
0.00043;0;0;1;0.00000125
0.00043125;0;0;1;0.00000125
0.0004325;0;0;1;0.00000125
0.00043375;0;0;1;0.00000125
0.000435;0;0;1;0.00000125
0.00043625;0;0;1;0.00000125
0.0004375;0;0;1;0.00000125
0.00043875;0;0;1;0.00000125
0.00044;0;0;1;0.00000125
0.00044125;0;0;1;0.00000125
0.0004425;0;0;1;0.00000125
0.00044375;0;0;1;1.25E-06
0.000445;0;0;1;0.00000125
0.00044625;0;0;1;0.00000125
0.0004475;0;0;1;0.00000125
0.00044875;0;0;1;0.00000125
0.00045;0;0;1;0.00000125
0.00045125;0;0;1;0.00000125
0.0004525;0;0;1;0.00000125
0.00045375;0;0;1;0.00000125
0.000455;0;0;1;0.00000125
0.00045625;0;0;1;0.00000125
0.0004575;0;0;1;0.00000125
0.00045875;0;0;1;0.00000125
0.00046;0;0;1;0.00000125
0.00046125;1;0.00000125;1;0.00000125
0.0004625;1;0.00000125;1;0.00000125
0.00046375;1;0.00000125;1;0.00000125
0.000465;1;1.25E-06;1;1.25E-06
0.00046625;0;0;1;0.00000125
0.0004675;0;0;1;0.00000125
0.00046875;0;0;1;0.00000125
0.00047;0;0;1;0.00000125
0.00047125;0;0;1;0.00000125
0.0004725;0;0;1;0.00000125
0.00047375;0;0;1;0.00000125
0.000475;0;0;1;0.00000125
0.00047625;0;0;1;0.00000125
0.0004775;0;0;1;0.00000125
0.00047875;0;0;1;0.00000125
0.00048;0;0;1;0.00000125
