Time (s);IRQ;;FSM;
-0.02426063;0;0;1;3.13E-06
-0.0242575;0;0;1;3.13E-06
-0.02425437;0;0;1;3.13E-06
-0.02425124;0;0;1;3.13E-06
-0.02424811;0;0;1;3.13E-06
-0.02424498;0;0;1;3.13E-06
-0.02424185;0;0;1;3.13E-06
-0.02423872;0;0;1;3.13E-06
-0.02423559;0;0;1;3.13E-06
-0.02423246;0;0;1;3.13E-06
-0.02422933;0;0;1;3.13E-06
-0.0242262;0;0;1;3.13E-06
-0.02422307;0;0;1;3.13E-06
-0.02421994;0;0;1;3.13E-06
-0.02421681;0;0;1;3.13E-06
-0.02421368;0;0;1;3.13E-06
-0.02421055;0;0;1;3.13E-06
-0.02420742;0;0;1;3.13E-06
-0.02420429;0;0;1;3.13E-06
-0.02420116;0;0;1;3.13E-06
-0.02419803;0;0;1;3.13E-06
-0.0241949;0;0;1;3.13E-06
-0.02419177;0;0;1;3.13E-06
-0.02418864;0;0;1;3.13E-06
-0.02418551;0;0;1;3.13E-06
-0.02418238;0;0;1;3.13E-06
-0.02417925;0;0;1;3.13E-06
-0.02417612;0;0;1;3.13E-06
-0.02417299;0;0;1;3.13E-06
-0.02416986;0;0;1;3.13E-06
-0.02416673;0;0;1;3.13E-06
-0.0241636;0;0;1;3.13E-06
-0.02416047;0;0;1;3.13E-06
-0.02415734;0;0;1;3.13E-06
-0.02415421;0;0;1;3.13E-06
-0.02415108;0;0;1;3.13E-06
-0.02414795;0;0;1;3.13E-06
-0.02414482;0;0;1;3.13E-06
-0.02414169;0;0;1;3.13E-06
-0.02413856;0;0;1;3.13E-06
-0.02413543;0;0;1;3.13E-06
-0.0241323;0;0;1;3.13E-06
-0.02412917;0;0;1;3.13E-06
-0.02412604;0;0;1;3.13E-06
-0.02412291;0;0;1;3.13E-06
-0.02411978;0;0;1;3.13E-06
-0.02411665;0;0;1;3.13E-06
-0.02411352;0;0;1;3.13E-06
-0.02411039;0;0;1;3.13E-06
-0.02410726;0;0;1;3.13E-06
-0.02410413;0;0;1;3.13E-06
-0.024101;0;0;1;3.13E-06
-0.02409787;0;0;1;3.13E-06
-0.02409474;0;0;1;3.13E-06
-0.02409161;0;0;1;3.13E-06
-0.02408848;0;0;1;3.13E-06
